Vaccine,Dose,Geography Type,Geography,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size,State,HHS Region
Tetanus,Tdap,States/Local Areas,Maryland,2019,>=18 Years,Overall,44.5,42.9 to 46.1,8824.0,Maryland,Region 3
Zoster (Shingles),,States/Local Areas,Maryland,2017,>=60 Years,Overall,43.3,41.5 to 45.0,6232.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2011,18-64 Years,Overall,14.6,11.9 to 17.2,1795.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2010,18-64 Years,Overall,9.8,8.0 to 11.6,2130.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2013,>=65 Years,Overall,19.8,17.4 to 22.2,2520.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2019,18-64 Years,Overall,47.6,45.6 to 49.6,4997.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2013,18-64 Years,Overall,28.8,26.8 to 30.7,4713.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2019,>=65 Years,Overall,32.9,30.8 to 35.0,3827.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2011,>=65 Years,Overall,7.2,4.0 to 10.4,823.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2010,>=65 Years,Overall,4.8,2.9 to 6.8,842.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2016,>=65 Years,Overall,19.6,18.0 to 21.3,4125.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2016,18-64 Years,Overall,35.2,33.5 to 36.9,6539.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2011,>=18 Years,Overall,13.3,11.0 to 15.5,2618.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2013,>=18 Years,Overall,27.0,25.4 to 28.6,7233.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2016,>=18 Years,Overall,31.9,30.5 to 33.3,10664.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2010,>=18 Years,Overall,9.0,7.4 to 10.5,2972.0,Maryland,Region 3
Zoster (Shingles),,States/Local Areas,Maryland,2023,60-64 Years,Overall,45.9,42.0 to 49.7,1618.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2023,18-64 Years at Increased Risk,Overall,34.1,31.4 to 36.9,2927.0,Maryland,Region 3
Zoster (Shingles),,States/Local Areas,Maryland,2023,>=60 Years,Overall,57.1,55.3 to 58.9,7985.0,Maryland,Region 3
Zoster (Shingles),,States/Local Areas,Maryland,2023,>=65 Years,Overall,61.9,59.9 to 63.8,6367.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2023,>=65 Years,Overall,73.5,71.7 to 75.3,6250.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2022,18-64 Years,Overall,44.9,42.8 to 46.9,5265.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2022,>=65 Years,Overall,33.7,30.9 to 36.6,3229.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Maryland,2022,>=18 Years,Overall,42.4,40.7 to 44.1,8494.0,Maryland,Region 3
Tetanus,Td or Tdap,States/Local Areas,Maryland,2022,>=18 Years,Overall,68.5,67.2 to 69.8,12729.0,Maryland,Region 3
Tetanus,Td or Tdap,States/Local Areas,Maryland,2022,18-49 Years,Overall,69.4,67.4 to 71.5,4229.0,Maryland,Region 3
Tetanus,Td or Tdap,States/Local Areas,Maryland,2022,>=65 Years,Overall,64.2,61.9 to 66.4,4916.0,Maryland,Region 3
Tetanus,Td or Tdap,States/Local Areas,Maryland,2022,50-64 Years,Overall,70.5,68.1 to 72.8,3584.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2022,>=65 Years,Overall,74.2,72.2 to 76.2,5132.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2022,18-64 Years at Increased Risk,Overall,35.9,33.1 to 38.6,2871.0,Maryland,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2016,>=65 Years,Overall,17.0,14.4 to 19.6,1188.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2016,18-64 Years,Overall,35.4,33.1 to 37.8,2888.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2013,>=65 Years,Overall,15.6,13.6 to 17.5,2293.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2019,18-64 Years,Overall,47.3,44.7 to 49.9,2349.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2013,18-64 Years,Overall,31.8,30.0 to 33.7,4319.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2013,>=18 Years,Overall,28.2,26.7 to 29.7,6612.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2016,>=18 Years,Overall,31.0,29.1 to 32.9,4076.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2019,>=65 Years,Overall,27.1,23.9 to 30.3,1062.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2019,>=18 Years,Overall,42.4,40.2 to 44.6,3411.0,Pennsylvania,Region 3
Zoster (Shingles),,States/Local Areas,Pennsylvania,2017,>=60 Years,Overall,40.0,37.4 to 42.6,2373.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2022,18-64 Years,Overall,46.2,42.9 to 49.4,1791.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2022,>=65 Years,Overall,26.7,21.9 to 31.6,752.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,Pennsylvania,2022,>=18 Years,Overall,40.8,38.1 to 43.6,2543.0,Pennsylvania,Region 3
Tetanus,Td or Tdap,States/Local Areas,Pennsylvania,2022,>=18 Years,Overall,67.6,65.5 to 69.8,3817.0,Pennsylvania,Region 3
Tetanus,Td or Tdap,States/Local Areas,Pennsylvania,2022,18-49 Years,Overall,72.6,69.6 to 75.5,1696.0,Pennsylvania,Region 3
Tetanus,Td or Tdap,States/Local Areas,Pennsylvania,2022,>=65 Years,Overall,56.1,51.4 to 60.8,1088.0,Pennsylvania,Region 3
Tetanus,Td or Tdap,States/Local Areas,Pennsylvania,2022,50-64 Years,Overall,69.9,66.0 to 73.8,1033.0,Pennsylvania,Region 3
Pneumococcal,,States/Local Areas,Pennsylvania,2022,>=65 Years,Overall,73.6,69.5 to 77.7,1158.0,Pennsylvania,Region 3
Pneumococcal,,States/Local Areas,Pennsylvania,2022,18-64 Years at Increased Risk,Overall,30.2,26.3 to 34.2,1050.0,Pennsylvania,Region 3
Pneumococcal,,States/Local Areas,Georgia,2017,>=65 Years,Overall,71.3,68.7 to 74.0,1808.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2021,18-64 Years at Increased Risk,Overall,24.8,21.9 to 27.7,1534.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2021,>=65 Years,Overall,70.2,67.8 to 72.7,2848.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2020,18-64 Years at Increased Risk,Overall,26.7,23.7 to 29.7,1825.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2015,>=65 Years,Overall,69.4,66.5 to 72.3,1478.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2014,18-64 Years at Increased Risk,Overall,29.8,26.7 to 32.9,1365.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2013,18-64 Years at Increased Risk,Overall,29.5,26.7 to 32.2,1814.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2016,>=65 Years,Overall,72.3,69.7 to 74.9,1826.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2017,18-64 Years at Increased Risk,Overall,33.1,29.9 to 36.4,1183.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2012,>=65 Years,Overall,66.2,63.3 to 69.1,1774.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2013,>=65 Years,Overall,66.4,63.7 to 69.2,1978.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2011,>=65 Years,Overall,66.5,64.2 to 68.8,2857.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2016,18-64 Years at Increased Risk,Overall,32.3,29.0 to 35.7,1170.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2010,>=65 Years,Overall,64.4,61.6 to 67.1,1705.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2008,>=65 Years,Overall,65.2,62.3 to 68.1,1571.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2009,>=65 Years,Overall,63.4,60.6 to 66.3,1636.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2014,>=65 Years,Overall,65.2,62.6 to 67.9,2011.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2018,>=65 Years,Overall,71.2,69.0 to 73.4,2675.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2019,>=65 Years,Overall,69.7,66.5 to 73.0,2130.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2018,18-64 Years at Increased Risk,Overall,27.7,25.4 to 30.0,1990.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2015,18-64 Years at Increased Risk,Overall,31.0,27.4 to 34.6,965.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2021,60-64 Years,Overall,29.4,24.6 to 34.3,647.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2014,>=60 Years,Overall,27.2,25.2 to 29.2,2715.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2019,>=18 Years,Overall,66.4,64.4 to 68.5,5685.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2020,>=60 Years,Overall,37.8,35.4 to 40.2,3787.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2020,60-64 Years,Overall,23.6,19.2 to 28.1,759.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2014,60-64 Years,Overall,17.1,13.7 to 20.5,672.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2021,>=65 Years,Overall,46.0,43.3 to 48.7,2696.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2017,60-64 Years,Overall,25.1,20.8 to 29.5,563.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2020,>=65 Years,Overall,71.7,69.4 to 74.1,2993.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2008,18-64 Years at Increased Risk,Overall,23.3,19.6 to 27.0,1368.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2009,18-64 Years at Increased Risk,Overall,21.0,18.1 to 23.9,1285.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2010,18-64 Years at Increased Risk,Overall,25.9,22.5 to 29.3,1208.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2011,18-64 Years at Increased Risk,Overall,30.1,27.4 to 32.7,2313.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2013,>=18 Years,Overall,55.0,53.4 to 56.7,6531.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2016,>=18 Years,Overall,58.0,56.1 to 59.9,4568.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2014,>=18 Years,Overall,53.2,51.2 to 55.2,4795.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2019,>=65 Years,Overall,64.5,61.2 to 67.7,1969.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2019,18-64 Years at Increased Risk,Overall,30.5,26.9 to 34.2,1518.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2016,50-64 Years,Overall,57.3,54.0 to 60.6,1336.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2019,50-64 Years,Overall,65.4,61.7 to 69.1,1616.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2013,>=65 Years,Overall,46.8,43.8 to 49.8,1837.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2016,>=65 Years,Overall,47.7,44.7 to 50.7,1704.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2014,>=65 Years,Overall,45.7,42.8 to 48.7,1735.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2021,50-64 Years,Overall,59.9,56.5 to 63.3,1643.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2021,>=65 Years,Overall,59.1,56.4 to 61.9,2585.0,Georgia,Region 4
